datetime,source,target,value
2017-08-06 12:07:14.678949,fragrant-recipe,lingering-smoke,0.823445434022
2017-08-06 12:07:14.686187,small-sunset,wild-cherry,0.437684411567
2017-08-06 12:07:14.686927,long-rain,lingering-smoke,1.62949911141
2017-08-06 12:07:14.699870,tiny-dawn,fragrant-poetry,1.1907248678
2017-08-06 12:07:14.707330,rapid-tree,shrill-forest,0.773954927888
2017-08-06 12:07:14.711322,fragrant-poetry,purple-pine,1.0749112984
2017-08-06 12:07:14.715472,rough-dew,small-sunset,0.257200797467
2017-08-06 12:07:14.719605,ancient-grass,wispy-unit,2.44412901086
2017-08-06 12:07:14.719989,shrill-firefly,tiny-dawn,0.538610791158
2017-08-06 12:07:14.729318,wispy-unit,throbbing-river,1.93268486596
2017-08-06 12:07:14.731069,rapid-tree,floral-night,2.00922168122
2017-08-06 12:07:14.739676,floral-night,purple-pine,0.692890414953
2017-08-06 12:07:14.739827,floral-night,purple-pine,1.01560706248
2017-08-06 12:07:14.740108,fragrant-recipe,black-grass,0.38968781524
2017-08-06 12:07:14.745227,throbbing-river,bitter-art,0.678209049155
2017-08-06 12:07:14.753313,super-frog,ancient-grass,5.79729857113
2017-08-06 12:07:14.762242,ancient-grass,floral-meadow,2.03168968731
2017-08-06 12:07:14.784668,shrill-forest,white-breeze,1.29626950629
2017-08-06 12:07:14.790113,tiny-dawn,restless-paper,0.96466013532
2017-08-06 12:07:14.792525,lively-river,shrill-unit,0.3204850085
2017-08-06 12:07:14.794559,floral-night,ancient-glade,2.10647469695
2017-08-06 12:07:14.804014,white-breeze,flat-mouse,3.1406866321
2017-08-06 12:07:14.825289,wispy-fire,wispy-unit,0.667786875519
2017-08-06 12:07:14.857582,young-rain,lively-river,1.84583096821
2017-08-06 12:07:14.857719,billowing-silence,rough-base,0.247075162565
2017-08-06 12:07:14.874724,ancient-glade,gentle-cloud,1.7400628094
2017-08-06 12:07:14.888928,white-breeze,lingering-smoke,1.02892501749
2017-08-06 12:07:14.893131,rapid-tree,wispy-fire,7.95227547106
2017-08-06 12:07:14.898680,soft-feather,blue-rice,10.3753760907
2017-08-06 12:07:14.913440,lively-fire,tiny-dawn,0.711260559989
2017-08-06 12:07:14.920980,wild-cherry,ancient-glade,1.59689680589
2017-08-06 12:07:14.936395,cold-cloud,jolly-union,1.57898030738
2017-08-06 12:07:14.939219,rough-base,billowing-silence,0.241232870969
2017-08-06 12:07:14.947727,ancient-glade,rapid-tree,1.20113326905
2017-08-06 12:07:14.954244,broad-band,lively-fire,10.0640843738
2017-08-06 12:07:14.966281,floral-meadow,bitter-cherry,1.08439105167
2017-08-06 12:07:14.973285,still-hat,long-rain,1.15146951364
2017-08-06 12:07:14.973874,floral-night,bitter-art,0.717922592015
2017-08-06 12:07:14.986042,wild-cherry,black-moon,0.555321384971
2017-08-06 12:07:14.988330,spring-tooth,rapid-tree,0.755010688769
2017-08-06 12:07:14.995562,round-cloud,long-limit,0.605293955387
2017-08-06 12:07:14.998141,cold-cloud,lively-river,0.158786181551
2017-08-06 12:07:15.001213,blue-rice,cold-cloud,1.12763640331
2017-08-06 12:07:15.020396,long-limit,floral-bush,0.846202505326
2017-08-06 12:07:15.021941,lively-river,long-limit,0.194275017494
2017-08-06 12:07:15.034296,white-breeze,spring-tooth,0.966599225394
2017-08-06 12:07:15.035204,fragrant-recipe,lively-frog,2.31828808318
2017-08-06 12:07:15.037177,wispy-fire,billowing-silence,0.739605295026
2017-08-06 12:07:15.052088,young-rain,wild-cherry,0.662736450114
2017-08-06 12:07:15.072811,tiny-dawn,blue-rice,2.84783636962
2017-08-06 12:07:15.091451,black-grass,restless-paper,1.24260789299
2017-08-06 12:07:15.109555,flat-mouse,young-rain,0.86560597725
2017-08-06 12:07:15.111732,broad-band,super-frog,1.6982503507
2017-08-06 12:07:15.119853,round-cloud,ancient-glade,0.173362731432
2017-08-06 12:07:15.129778,bitter-art,round-cloud,0.551624678091
2017-08-06 12:07:15.134930,lively-frog,floral-bush,1.78945988257
2017-08-06 12:07:15.155288,bitter-cherry,lively-frog,0.154016527459
2017-08-06 12:07:15.163156,lively-frog,gentle-cloud,6.04309639781
2017-08-06 12:07:15.170101,billowing-silence,young-rain,7.10242283832
2017-08-06 12:07:15.194141,throbbing-river,gentle-cloud,0.562630375182
2017-08-06 12:07:15.206878,lively-fire,super-frog,0.683507985844
2017-08-06 12:07:15.217816,rough-base,soft-feather,0.886096696035
2017-08-06 12:07:15.218471,long-rain,super-frog,0.692386140595
2017-08-06 12:07:15.230799,wispy-unit,purple-pine,0.799689350059
2017-08-06 12:07:15.231081,long-limit,soft-silence,6.80876097468
2017-08-06 12:07:15.231460,lively-frog,winter-field,0.579083697113
2017-08-06 12:07:15.248212,blue-block,lively-river,2.3324282943
2017-08-06 12:07:15.248778,shrill-unit,wispy-unit,0.175425056593
2017-08-06 12:07:15.255002,lively-frog,long-limit,0.216401805843
2017-08-06 12:07:15.284371,wispy-fire,broad-band,0.18414687095
2017-08-06 12:07:15.285628,cold-cloud,crimson-waterfall,1.59624662571
2017-08-06 12:07:15.288982,shrill-unit,floral-meadow,0.510825378648
2017-08-06 12:07:15.294836,broad-band,purple-pine,0.231939206629
2017-08-06 12:07:15.311046,blue-rice,ancient-glade,0.490176807821
2017-08-06 12:07:15.315889,rough-base,wispy-fire,0.556487257402
2017-08-06 12:07:15.323811,soft-feather,still-hat,4.97545534034
2017-08-06 12:07:15.325211,flat-mouse,blue-block,0.486702792733
2017-08-06 12:07:15.328740,throbbing-river,wild-cherry,0.375842308729
2017-08-06 12:07:15.346582,rough-dew,round-cloud,0.48199231115
2017-08-06 12:07:15.369146,restless-paper,wild-cherry,0.150659306962
2017-08-06 12:07:15.373761,wandering-bush,black-grass,0.968381588269
2017-08-06 12:07:15.375451,shrill-unit,fragrant-recipe,0.68839079454
2017-08-06 12:07:15.375814,billowing-silence,flat-mouse,3.07815495639
2017-08-06 12:07:15.379198,fragrant-poetry,winter-field,1.23699792404
2017-08-06 12:07:15.381639,broad-band,ancient-grass,1.01362494747
2017-08-06 12:07:15.389335,long-rain,shrill-forest,1.52960826666
2017-08-06 12:07:15.392795,wispy-fire,rough-dew,1.96151650916
2017-08-06 12:07:15.414980,wispy-unit,purple-pine,2.00772440194
2017-08-06 12:07:15.422417,still-hat,wild-cherry,0.276505830947
2017-08-06 12:07:15.425047,young-rain,small-sunset,1.06381670904
2017-08-06 12:07:15.452227,floral-bush,ancient-glade,0.687154722723
2017-08-06 12:07:15.521080,restless-paper,purple-pine,3.62105064959
2017-08-06 12:07:15.528938,round-cloud,long-limit,3.21656222625
2017-08-06 12:07:15.580473,soft-feather,white-breeze,0.700629819281
2017-08-06 12:07:15.585016,tiny-dawn,shrill-firefly,1.47951886805
2017-08-06 12:07:15.596344,lingering-smoke,crimson-waterfall,1.47472936331
2017-08-06 12:07:15.601579,wandering-bush,black-moon,0.663733964664
2017-08-06 12:07:15.601971,floral-meadow,winter-field,0.826663179193
2017-08-06 12:07:15.620648,flat-mouse,young-rain,0.354461308854
2017-08-06 12:07:15.624098,spring-tooth,floral-bush,0.646450196329
2017-08-06 12:07:15.630629,lively-frog,purple-pine,0.314335465462
2017-08-06 12:07:15.635833,round-cloud,soft-feather,0.349719820661
2017-08-06 12:07:15.639749,rough-dew,lively-river,5.50017329132
2017-08-06 12:07:15.640834,spring-tooth,bitter-art,2.71709908714
2017-08-06 12:07:15.676209,rough-dew,lively-fire,1.69225009273
2017-08-06 12:07:15.703385,round-cloud,shrill-forest,1.97485944239
2017-08-06 12:07:15.708383,rough-dew,shrill-unit,1.039305004
2017-08-06 12:07:15.710694,rough-base,lively-river,0.909624588528
2017-08-06 12:07:15.719996,young-rain,billowing-silence,0.420174286894
2017-08-06 12:07:15.739620,black-moon,flat-mouse,0.692302462888
2017-08-06 12:07:15.741043,restless-paper,winter-field,0.280437916748
2017-08-06 12:07:15.749999,lingering-smoke,black-grass,0.675825671611
2017-08-06 12:07:15.753059,rough-base,soft-feather,0.0533893041441
2017-08-06 12:07:15.757572,floral-night,soft-silence,5.03036627168
2017-08-06 12:07:15.799033,wispy-fire,floral-meadow,0.711683666791
2017-08-06 12:07:15.806067,blue-rice,fragrant-recipe,0.345984350497
2017-08-06 12:07:15.816540,shrill-firefly,purple-pine,1.12732730584
2017-08-06 12:07:15.834270,soft-feather,lively-fire,4.43828442405
2017-08-06 12:07:15.835623,ancient-grass,winter-field,1.3430745261
2017-08-06 12:07:15.840398,ancient-grass,super-frog,3.20073972628
2017-08-06 12:07:15.840707,black-grass,white-breeze,0.413726664645
2017-08-06 12:07:15.880589,rough-dew,wispy-unit,0.85368863155
2017-08-06 12:07:15.881371,black-moon,round-cloud,0.704120432553
2017-08-06 12:07:15.881619,long-rain,soft-feather,1.01380468235
2017-08-06 12:07:15.883907,floral-bush,wandering-bush,2.94441118304
2017-08-06 12:07:15.897588,lively-frog,floral-night,1.23125870635
2017-08-06 12:07:15.910604,shrill-forest,floral-bush,1.01109110195
2017-08-06 12:07:15.925211,soft-feather,crimson-waterfall,2.50342574784
2017-08-06 12:07:15.925466,black-moon,wispy-fire,2.05062247402
2017-08-06 12:07:15.932283,long-limit,rough-dew,0.528149970113
2017-08-06 12:07:15.933409,rough-base,soft-feather,5.65693154691
2017-08-06 12:07:15.934246,rough-dew,still-hat,2.66313418783
2017-08-06 12:07:15.935990,shrill-unit,lingering-smoke,1.14825179585
2017-08-06 12:07:15.936547,super-frog,cold-cloud,1.18482318089
2017-08-06 12:07:15.947674,round-cloud,floral-bush,4.72301440126
2017-08-06 12:07:15.957810,rough-dew,crimson-waterfall,3.57066675213
2017-08-06 12:07:15.958863,white-breeze,wispy-unit,3.09629492831
2017-08-06 12:07:15.962199,rapid-tree,wandering-bush,0.952279408891
2017-08-06 12:07:15.975717,black-grass,winter-field,0.659937380424
